t,y,theory_density,kde_density
0.2,1.74,0.013449500923633631,0.016935542684651243
0.2,1.745,0.012780569775874266,0.01639074714843836
0.2,1.75,0.012136905284612635,0.01579211507273339
0.2,1.7550000000000001,0.011517762636138117,0.015141106230360217
0.2,1.76,0.010922413307024611,0.014441498045807155
0.2,1.7650000000000001,0.010350145067269145,0.013699154720609947
0.2,1.77,0.009800261974050877,0.012921700023731856
0.2,1.7750000000000001,0.009272084356627385,0.012118118726635098
0.2,1.78,0.008764948792881254,0.011298314695501686
0.2,1.7850000000000001,0.008278208078023569,0.01047265420512436
0.2,1.79,0.007811231185957224,0.009651521323129013
0.2,1.795,0.007363403223796452,0.008844908639153607
0.2,1.8,0.00693412538003287,0.008062061722677575
0.2,1.805,0.006522814866831631,0.00731119008491567
0.2,1.81,0.006128904856933644,0.006599251680888702
0.2,1.815,0.005751844415634677,0.0059318126292606495
0.2,1.82,0.00539109842830058,0.00531297924223837
0.2,1.825,0.005046147523873351,0.004745395893998429
0.2,1.83,0.004716487994812691,0.004230299813455004
0.2,1.835,0.00440163171390745,0.0037676225311463547
0.2,1.84,0.00410110604838571,0.0033561273002201296
0.2,1.845,0.0038144537717399677,0.0029935721390071924
0.2,1.85,0.003541232973674604,0.0026768889698634097
0.2,1.855,0.003281016968574375,0.0024023704264574375
0.2,1.86,0.0030333942028813268,0.002165857077636371
0.2,1.865,0.002797968161756369,0.0019629189348278563
0.2,1.87,0.002574357275393542,0.0017890260992628707
0.2,1.875,0.0023621948253414993,0.0016397042518405376
0.2,1.8800000000000001,0.002161128851177325,0.001510671424936812
0.2,1.885,0.0019708220578662284,0.001397953181944642
0.2,1.8900000000000001,0.0017909517241289023,0.0012979740336029435
0.2,1.895,0.0016212096121274663,0.0012076236948596174
0.2,1.9000000000000001,0.0014613018787682861,0.0011242976604395175
0.2,1.905,0.0013109489889093582,0.0010459125459210414
0.2,1.9100000000000001,0.0011698856307463593,0.0009708976643160882
0.2,1.915,0.0010378606336413196,0.0008981653185412376
0.2,1.92,0.0009146368886439378,0.000827063204134788
0.2,1.925,0.0007999912719441457,0.0007573130483384265
0.2,1.93,0.0006937145714820789,0.0006889400875213025
0.2,1.935,0.0005956114169290624,0.0006221981551833011
0.2,1.94,0.0005055002132401578,0.0005574949995687032
0.2,1.945,0.00042321307796705754,0.0004953219899257125
0.2,1.95,0.00034859578250686355,0.0004361916523844574
0.2,1.955,0.00028150769744921314,0.0003805855741119673
0.2,1.96,0.0002218217421723267,0.0003289142167180304
0.2,1.965,0.00016942433882462376,0.0002814891793902216
0.2,1.97,0.00012421537081640235,0.0002385075342046943
0.2,1.975,8.610814593261079e-05,0.0002000470894335989
0.2,1.98,5.502936416505813e-05,0.00016607086800172905
0.2,1.985,3.0919090349184636e-05,0.0001364387390979041
0.2,1.99,1.3730731677559973e-05,0.00011092400869135857
0.2,1.995,3.431020149102786e-06,8.923283613713044e-05
0.2,2.0,0.0,7.102456096921355e-05
2.8,0.0,0.0,5.782458285993439e-09
2.8,0.005,4.92628232660025e-07,1.0143198151688446e-08
2.8,0.01,1.9722864896422993e-06,1.7555405363506897e-08
2.8,0.015,4.44429839316283e-06,2.997947078950846e-08
2.8,0.02,7.917546464951932e-06,5.051476458701085e-08
2.8,0.025,1.240448685477335e-05,8.398441502540391e-08
2.8,0.03,1.7921169963524632e-05,1.3777502031007337e-07
2.8,0.035,2.44872669638773e-05,2.2301798519365015e-07
2.8,0.04,3.2126102222291135e-05,3.562164967389915e-07
2.8,0.045,4.086469162722382e-05,5.614370315600173e-07
2.8,0.05,5.0733786828533274e-05,8.73193114788819e-07
2.8,0.055,6.17679253941477e-05,1.3401470701676799e-06
2.8,0.06,7.400548689054478e-05,2.0297369865112648e-06
2.8,0.065,8.748875489345578e-05,3.033794877607929e-06
2.8,0.07,0.00010226398493708414,4.475152211863206e-06
2.8,0.075,0.00011838147840786122,6.515126442624953e-06
2.8,0.08,0.00013589566239106924,9.361645881009155e-06
2.8,0.085,0.0001548651754784601,1.3277604128183714e-05
2.8,0.09,0.00017535295954220167,1.858884970382396e-05
2.8,0.095,0.00019742635748367407,2.569102933242235e-05
2.8,0.1,0.00022115721696364612,3.5054339900158306e-05
2.8,0.105,0.0002466220001173893,4.722513566091264e-05
2.8,0.11,0.00027390189926229484,6.282331784745753e-05
2.8,0.115,0.00030308295859943294,8.253453510155511e-05
2.8,0.12,0.0003342562019113077,0.00010709646800381691
2.8,0.125,0.00036751776625870984,0.00013727886673531292
2.8,0.13,0.0004029690416729218,0.00017385754304643272
2.8,0.135,0.0004407168168412856,0.00021758314625435558
