panel,t,x,a,y,theory_density,kde_density
1,1.0,0.5,1.8,0.4374,0.6149686493308029,0.6589139476837789
1,1.0,0.5,1.8,0.4392,0.6169493658621663,0.6611595566156743
1,1.0,0.5,1.8,0.441,0.6189236491082377,0.6633651225319465
1,1.0,0.5,1.8,0.44279999999999997,0.6208914795103403,0.6655306958953564
1,1.0,0.5,1.8,0.4446,0.6228528375870866,0.6676563980606509
1,1.0,0.5,1.8,0.44639999999999996,0.6248077039345721,0.6697424185465738
1,1.0,0.5,1.8,0.4482,0.6267560592265673,0.6717890119664182
1,1.0,0.5,1.8,0.45,0.6286978842147127,0.6737964946348706
1,1.0,0.5,1.8,0.4518,0.6306331597287061,0.6757652408713221
1,1.0,0.5,1.8,0.4536,0.6325618666764946,0.677695679021875
1,1.0,0.5,1.8,0.45539999999999997,0.6344839860444605,0.6795882872244778
1,1.0,0.5,1.8,0.4572,0.6363994988976095,0.6814435889434354
1,1.0,0.5,1.8,0.45899999999999996,0.6383083863797558,0.6832621483013489
1,1.0,0.5,1.8,0.4608,0.6402106297137053,0.6850445652381498
1,1.0,0.5,1.8,0.4626,0.6421062102014401,0.6867914705283139
1,1.0,0.5,1.8,0.4644,0.6439951092242975,0.6885035206884549
1,1.0,0.5,1.8,0.4662,0.6458773082431526,0.6901813928086428
1,1.0,0.5,1.8,0.46799999999999997,0.6477527887985958,0.6918257793414956
1,1.0,0.5,1.8,0.4698,0.6496215325111104,0.6934373828835915
1,1.0,0.5,1.8,0.47159999999999996,0.6514835210812487,0.6950169109841484
1,1.0,0.5,1.8,0.4734,0.6533387362898075,0.6965650710159292
1,1.0,0.5,1.8,0.4752,0.6551871599980007,0.6980825651431564
1,1.0,0.5,1.8,0.477,0.6570287741476314,0.6995700854207766
1,1.0,0.5,1.8,0.4788,0.6588635607612645,0.7010283090587371
1,1.0,0.5,1.8,0.48059999999999997,0.6606915019423938,0.7024578938839838
1,1.0,0.5,1.8,0.4824,0.6625125798756119,0.7038594740317736
1,1.0,0.5,1.8,0.48419999999999996,0.6643267768267757,0.7052336558963548
1,1.0,0.5,1.8,0.486,0.6661340751431732,0.7065810143695443
1,1.0,0.5,1.8,0.4878,0.6679344572536873,0.7079020893937619
1,1.0,0.5,1.8,0.4896,0.6697279056689578,0.7091973828541211
1,1.0,0.5,1.8,0.4914,0.6715144029815439,0.7104673558317001
1,1.0,0.5,1.8,0.49319999999999997,0.6732939318660833,0.7117124262379536
1,1.0,0.5,1.8,0.495,0.6750664750794533,0.7129329668472457
1,1.0,0.5,1.8,0.49679999999999996,0.676832015460924,0.7141293037421294
1,1.0,0.5,1.8,0.4986,0.6785905359323193,0.7153017151827133
1,1.0,0.5,1.8,0.5004,0.680342019498168,0.7164504309087565
1,1.0,0.5,1.8,0.5022,0.6820864492458595,0.7175756318799653
1,1.0,0.5,1.8,0.504,0.6838238083457939,0.7186774504567254
1,1.0,0.5,1.8,0.5058,0.6855540800515346,0.7197559710205853
1,1.0,0.5,1.8,0.5075999999999999,0.6872772476999571,0.7208112310303721
1,1.0,0.5,1.8,0.5094,0.6889932947113954,0.721843222506833
1,1.0,0.5,1.8,0.5112,0.6907022045897916,0.7228518939355018
1,1.0,0.5,1.8,0.513,0.6924039609228384,0.7238371525745287
1,1.0,0.5,1.8,0.5148,0.6940985473821253,0.7247988671509902
1,1.0,0.5,1.8,0.5166,0.6957859477232793,0.7257368709267665
1,1.0,0.5,1.8,0.5184,0.697466145786108,0.7266509651118295
1,1.0,0.5,1.8,0.5202,0.6991391254947384,0.7275409226007765
1,1.0,0.5,1.8,0.522,0.7008048708577549,0.7284064920054791
1,1.0,0.5,1.8,0.5237999999999999,0.7024633659683379,0.7292474019550492
1,1.0,0.5,1.8,0.5256,0.7041145950043991,0.7300633656319226
1,1.0,0.5,1.8,0.5274,0.7057585422287154,0.7308540855114316
1,1.0,0.5,1.8,0.5292,0.7073951919890629,0.731619258270465
1,1.0,0.5,1.8,0.531,0.7090245287183479,0.7323585798297344
1,1.0,0.5,1.8,0.5327999999999999,0.7106465369347376,0.7330717504931398
1,1.0,0.5,1.8,0.5346,0.7122612012417897,0.7337584801469368
1,1.0,0.5,1.8,0.5364,0.7138685063285796,0.7344184934810486
1,1.0,0.5,1.8,0.5382,0.7154684369698259,0.7350515351947096
1,1.0,0.5,1.8,0.54,0.7170609780260172,0.735657375148688
1,1.0,0.5,1.8,0.5418,0.718646114443534,0.7362358134267952
1,1.0,0.5,1.8,0.5436,0.7202238312547721,0.7367866852700923
1,1.0,0.5,1.8,0.5454,0.7217941135782627,0.7373098658480738
1,1.0,0.5,1.8,0.5472,0.7233569466187928,0.7378052748324377
1,1.0,0.5,1.8,0.5489999999999999,0.7249123156675221,0.7382728807404032
1,1.0,0.5,1.8,0.5508,0.7264602061021016,0.738712705016355
1,1.0,0.5,1.8,0.5526,0.7280006033867875,0.7391248258224374
1,1.0,0.5,1.8,0.5544,0.7295334930725554,0.7395093815109006
1,1.0,0.5,1.8,0.5562,0.731058860797214,0.739866573753373
1,1.0,0.5,1.8,0.5579999999999999,0.7325766922855163,0.7401966703045797
1,1.0,0.5,1.8,0.5598,0.734086973349268,0.7405000073809154
1,1.0,0.5,1.8,0.5616,0.7355896898874387,0.7407769916368402
1,1.0,0.5,1.8,0.5634,0.7370848278862676,0.7410281017250427
1,1.0,0.5,1.8,0.5652,0.7385723734193691,0.7412538894292652
1,1.0,0.5,1.8,0.567,0.7400523126478384,0.7414549803617783
1,1.0,0.5,1.8,0.5688,0.7415246318203547,0.7416320742203502
1,1.0,0.5,1.8,0.5706,0.7429893172732819,0.7417859446028424
1,1.0,0.5,1.8,0.5724,0.7444463554307705,0.7419174383805185
1,1.0,0.5,1.8,0.5741999999999999,0.7458957328048561,0.7420274746340407
1,1.0,0.5,1.8,0.576,0.7473374359955567,0.7421170431593456
1,1.0,0.5,1.8,0.5778,0.7487714516909704,0.7421872025532239
1,1.0,0.5,1.8,0.5796,0.750197766667369,0.7422390778912485
1,1.0,0.5,1.8,0.5814,0.7516163677892922,0.7422738580134177
1,1.0,0.5,1.8,0.5831999999999999,0.7530272420096417,0.7422927924352973
1,1.0,0.5,1.8,0.585,0.7544303763697688,0.7422971879047161
1,1.0,0.5,1.8,0.5868,0.7558257579995673,0.7422884046264401
1,1.0,0.5,1.8,0.5886,0.7572133741175595,0.7422678521789935
1,1.0,0.5,1.8,0.5904,0.7585932120309846,0.7422369851496621
1,1.0,0.5,1.8,0.5922,0.7599652591358836,0.7421972985153299
1,1.0,0.5,1.8,0.594,0.761329502917184,0.7421503227980324
1,1.0,0.5,1.8,0.5958,0.7626859309487821,0.7420976190252937
1,1.0,0.5,1.8,0.5976,0.7640345308936244,0.7420407735261318
1,1.0,0.5,1.8,0.5993999999999999,0.765375290503789,0.7419813925944677
1,1.0,0.5,1.8,0.6012,0.7667081976205633,0.741921097051705
1,1.0,0.5,1.8,0.603,0.7680332401745217,0.7418615167409423
1,1.0,0.5,1.8,0.6048,0.7693504061856025,0.7418042849848135
1,1.0,0.5,1.8,0.6066,0.7706596837631813,0.7417510330389122
1,1.0,0.5,1.8,0.6083999999999999,0.7719610611061456,0.7417033845722805
1,1.0,0.5,1.8,0.6102,0.7732545265029667,0.7416629502057098
1,1.0,0.5,1.8,0.612,0.7745400683317702,0.7416313221376758
1,1.0,0.5,1.8,0.6138,0.7758176750604058,0.7416100688868793
1,1.0,0.5,1.8,0.6156,0.7770873352465146,0.7416007301788585
1,1.0,0.5,1.8,0.6174,0.7783490375375968,0.7416048120029671
1,1.0,0.5,1.8,0.6192,0.7796027706710772,0.7416237818643249
1,1.0,0.5,1.8,0.621,0.7808485234743675,0.7416590642538295
1,1.0,0.5,1.8,0.6228,0.7820862848649317,0.7417120363573355
1,1.0,0.5,1.8,0.6245999999999999,0.7833160438503453,0.7417840240234149
1,1.0,0.5,1.8,0.6264,0.7845377895283564,0.7418762980070375
1,1.0,0.5,1.8,0.6282,0.7857515110869444,0.7419900705044578
1,1.0,0.5,1.8,0.63,0.7869571978043771,0.7421264919926406
1,1.0,0.5,1.8,0.6318,0.788154839049267,0.7422866483842357
1,1.0,0.5,1.8,0.6335999999999999,0.7893444242806259,0.7424715585071326
1,1.0,0.5,1.8,0.6354,0.7905259430479188,0.7426821719154187
1,1.0,0.5,1.8,0.6372,0.7916993849911151,0.7429193670364178
1,1.0,0.5,1.8,0.639,0.7928647398407401,0.7431839496563759
1,1.0,0.5,1.8,0.6408,0.7940219974179247,0.7434766517453297
1,1.0,0.5,1.8,0.6426,0.7951711476344518,0.7437981306195646
1,1.0,0.5,1.8,0.6444,0.7963121804928063,0.7441489684382744
1,1.0,0.5,1.8,0.6462,0.7974450860862172,0.7445296720289499
1,1.0,0.5,1.8,0.648,0.798569854598704,0.7449406730343747
1,1.0,0.5,1.8,0.6497999999999999,0.7996864763051186,0.745382328372325
1,1.0,0.5,1.8,0.6516,0.8007949415711872,0.7458549209974159
1,1.0,0.5,1.8,0.6534,0.8018952408535509,0.7463586609531604
1,1.0,0.5,1.8,0.6552,0.8029873646998036,0.7468936867007409
1,1.0,0.5,1.8,0.657,0.804071303748531,0.7474600667098917
1,1.0,0.5,1.8,0.6587999999999999,0.8051470487293455,0.7480578012959822
1,1.0,0.5,1.8,0.6606,0.8062145904629222,0.7486868246864471
1,1.0,0.5,1.8,0.6624,0.8072739198610329,0.7493470072988533
